Date,Location,Business,Room,Lat,Lon,People,Rating,Picture
June 2014,London England,HintHunt,The Office,51.530498,-0.133543,Dan; Karen; Alex; Ethan; Isaac; Judy,4,
June 2015,Los Angeles CA,Exit Game,Mission 1 - The Vault,34.06006,-118.134748,Dan; Karen; Ethan; Isaac; Lu,4,
June 2015,Los Angeles CA,Exit Game,can't remember?,34.06006,-118.134748,Dan; Karen; Ethan; Isaac; Lu,5,
August 2015,Pittsburgh PA,Escape Room Pittsburgh,Mad Scientist,40.426442,-79.939999,Dan; Karen; Ethan; Isaac; Doug; Carolyn; Catherine; Matthew,4,
November 2015,Milwaukee WI,Escape Chambers,The Assignment,43.03936,-87.91443,Dan; Karen; Alex; Ethan; Isaac; Amanda; Jim; Kris; Jacob,3,
November 2015,Milwaukee WI,Escape Chambers,Containment,43.03936,-87.91443,Dan; Karen; Alex; Ethan; Isaac; Amanda; Jim; Kris; Jacob,2,
December 2015,Wisc. Dells WI,DOA Room Escape,The Hotel,43.598644,-89.786093,Dan; Karen; Alex; Ethan; Isaac; Judy; Amanda; Felicity,1,
June 2016,Nashville TN,The Escape Game,The Heist,36.115796,-86.763551,Dan; Karen; Alex; Ethan; Isaac; Judy; Amanda,4,
June 2016,Nashville TN,The Escape Game,Prison Break,36.115796,-86.763551,Dan; Karen; Alex; Ethan; Isaac; Judy; Amanda,5,
June 2016,Nashville TN,The Escape Game,Gold Rush,36.115796,-86.763551,Dan; Karen; Alex; Ethan; Isaac; Judy; Amanda,5,
June 2016,Bowling Green KY,Conundrum Workshop,Mad Hatter's Tea Party,36.980627,-86.469343,Dan; Karen; Alex; Ethan; Isaac; Judy; Amanda,2,
June 2016,Louisville KY,Breakout Louisville,Island Escape,38.221502,-85.571515,Dan; Karen; Alex; Ethan; Isaac; Judy; Amanda,2,
August 2016,Milwaukee WI,Escape MKE,Mr. Dupree,43.079323,-88.048685,Ethan; Jake; Megan; Claire; Tim; Darnell; Ellie; Ann Marie,4,
August 2016,Milwaukee WI,Escape the room,The Agency,43.032565,-87.908679,Dan; Karen; Alex; Ethan; Isaac; Amanda; Judy; Felicity,3,
August 2016,Milwaukee WI,Escape the room,The Dig,43.032565,-87.908679,Dan; Karen; Alex; Ethan; Isaac; Amanda; Judy; Felicity,4,
August 2016,Green Bay WI,Breakout Green Bay (now called Green Bay Escape),Sabatoge,44.495591,-88.069708,Dan; Karen; Ethan; Isaac; Judy,3,
August 2016,Appleton WI,Escape Room Wisconsin,Office of Secret Agent 22,44.287105,-88.406638,Dan; Karen; Ethan; Isaac (+ 2 strangers),4,
September 2016,Seattle WA,Ninja Escape,Trapped in a Room with a Zombie,47.616221,-122.347443,Dan; Karen; Mike Julie (+ 8 strangers),4,
September 2016,Victoria BC,Horror Escape,Crimson Manor,48.424953,-123.369708,Dan; Karen; Mike Julie,3,
September 2016,Victoria BC,Horror Escape,Amen,48.424953,-123.369708,Dan; Karen; Mike Julie,3,
October 2016,Boston MA,Boxaroo - Boston Room Escape,Mystery of the Magician's study,42.359454,-71.058964,Dan; Karen; Alex; Ethan; Isaac; Judy; Amanda; Matthew; Rahul,4,
December 2016,San Fransicso CA,Palace Games,The Great Houdini Escape Room,37.804188,-122.449691,Dan; Karen; Mike; Julie; Juli; Bryan; Sara; and more,1,
December 2016,Eagle River WI,Northwoods Escape Room,Aunt Edna's Cabin,45.915359,-89.244516,Dan; Karen; Alex; Ethan; Isaac; Amanda,2,
December 2016,Appleton WI,Escape Room Wisconsin,The Crazy Cat Lady,44.287105,-88.406638,Dan; Karen; Alex; Ethan; Isaac,3,
June 2017,Royal Oak MI,The Great Escape Room,The Infirmary,42.487931,-83.146968,Dan; Karen; Ethan; Isaac (+ 4 strangers),4,
June 2017,Royal Oak MI,The Great Escape Room,The Game Room,42.487931,-83.146968,Dan; Karen; Ethan; Isaac,3,
June 2017,Royal Oak MI,The Great Escape Room,The Library,42.487931,-83.146968,Dan; Karen; Ethan; Isaac,3,
July 2017,Green Bay WI,Escape Room Wisconsin,Green Bay Locker Room Lockdown,44.470827,-88.083897,Dan; Karen; Alex; Ethan; Isaac; Amanda; Judy; Felicity,1,
